db,type,length
RefSeq,chr,0.205262
RefSeq,chr,1.088545
RefSeq,chr,1.720742
RefSeq,chr,5.008672
RefSeq,chr,1.518298
RefSeq,chr,3.570786
RefSeq,chr,3.909091
RefSeq,chr,1.06443
RefSeq,chr,9.203364
RefSeq,chr,1.830322
RefSeq,chr,0.736182
RefSeq,chr,1.061442
RefSeq,chr,0.805402
RefSeq,chr,9.196094
RefSeq,chr,1.142569
RefSeq,chr,0.959402
RefSeq,chr,4.174032
RefSeq,chr,3.459878
RefSeq,chr,1.132452
RefSeq,chr,1.369222
RefSeq,chr,1.366238
RefSeq,chr,1.135134
RefSeq,chr,0.765715
RefSeq,chr,4.79023
RefSeq,chr,3.783463
RefSeq,chr,0.864758
RefSeq,chr,1.382083
RefSeq,chr,1.315635
RefSeq,chr,0.180215
RefSeq,chr,0.174714
RefSeq,chr,1.181076
RefSeq,chr,5.852695
RefSeq,chr,1.322703
RefSeq,chr,1.372511
RefSeq,chr,0.763889
RefSeq,chr,3.639886
RefSeq,chr,5.626423
RefSeq,chr,1.882765
RefSeq,chr,1.110202
RefSeq,chr,5.856875
RefSeq,chr,4.24299
RefSeq,chr,1.893714
RefSeq,chr,7.812769
RefSeq,chr,3.457862
RefSeq,chr,2.386198
RefSeq,chr,1.757771
RefSeq,chr,0.903544
RefSeq,chr,5.302304
RefSeq,chr,1.524614
RefSeq,chr,1.803795
RefSeq,chr,0.18231
RefSeq,chr,1.279782
RefSeq,chr,3.487029
RefSeq,chr,0.824727
RefSeq,chr,1.928492
Ensembl,chr,0.853636
Ensembl,chr,0.987618
Ensembl,chr,0.961077
Ensembl,chr,1.607783
Ensembl,chr,1.548556
Ensembl,chr,1.054291
Ensembl,chr,3.501379
Ensembl,chr,3.171009
Ensembl,chr,4.809942
Ensembl,chr,2.396018
Ensembl,chr,1.478127
Ensembl,chr,1.569595
Ensembl,chr,1.530888
Ensembl,chr,3.585481
Ensembl,chr,4.246473
Ensembl,chr,2.800541
Ensembl,chr,1.285049
Ensembl,chr,1.328146
Ensembl,chr,1.371754
Ensembl,chr,1.371861
Ensembl,chr,1.374857
Ensembl,chr,1.467113
Ensembl,chr,11.013074
Ensembl,chr,0.170645
Ensembl,chr,0.18306
Ensembl,chr,0.198975
Ensembl,chr,1.114771
Ensembl,chr,1.061646
Ensembl,chr,9.241238
Ensembl,chr,9.229565
Ensembl,chr,3.912171
Ensembl,chr,3.925178
Ensembl,chr,4.260588
Ensembl,chr,9.691196
Ensembl,chr,2.830733
Ensembl,chr,6.537433
Ensembl,chr,3.799033
Ensembl,chr,5.852532
Ensembl,chr,0.907263
Ensembl,chr,0.808716
Ensembl,chr,1.37029
Ensembl,chr,1.38777
Ensembl,chr,1.378769
