db,type,length
REFSEQ,contig,177421
REFSEQ,contig,160254
REFSEQ,contig,45428
REFSEQ,contig,207160
REFSEQ,contig,644217
REFSEQ,contig,79854
REFSEQ,contig,145171
REFSEQ,contig,322261
REFSEQ,contig,590991
REFSEQ,contig,16380
REFSEQ,contig,1055485
REFSEQ,contig,41222
REFSEQ,contig,1963
REFSEQ,contig,43300
REFSEQ,contig,33367
REFSEQ,contig,494872
REFSEQ,contig,412736
REFSEQ,contig,2270827
REFSEQ,contig,217826
REFSEQ,contig,4236
REFSEQ,contig,1165630
REFSEQ,contig,226216
REFSEQ,contig,1340437
REFSEQ,contig,85160
REFSEQ,contig,110769
REFSEQ,contig,161062
REFSEQ,contig,106996
REFSEQ,contig,1444466
REFSEQ,contig,1485982
REFSEQ,contig,77013
REFSEQ,contig,119211
REFSEQ,contig,252332
REFSEQ,contig,604986
REFSEQ,contig,124603
REFSEQ,contig,41232
REFSEQ,contig,376824
REFSEQ,contig,369945
REFSEQ,contig,1858413
REFSEQ,contig,2055321
REFSEQ,contig,1171433
REFSEQ,contig,1347629
REFSEQ,contig,37509
REFSEQ,contig,51297
REFSEQ,contig,49170
REFSEQ,contig,1481371
REFSEQ,contig,88492
REFSEQ,contig,65525
REFSEQ,contig,348240
REFSEQ,contig,547749
REFSEQ,contig,80684
REFSEQ,contig,9176
REFSEQ,contig,85757
REFSEQ,contig,154209
REFSEQ,contig,407918
REFSEQ,contig,3192856
REFSEQ,contig,619666
REFSEQ,contig,157278
REFSEQ,contig,2119819
REFSEQ,contig,270637
REFSEQ,contig,1934060
REFSEQ,contig,1190097
REFSEQ,contig,3283068
REFSEQ,contig,87675
REFSEQ,contig,505435
REFSEQ,contig,467397
REFSEQ,contig,111569
REFSEQ,contig,32728
REFSEQ,contig,90684
REFSEQ,contig,5151
REFSEQ,contig,818293
REFSEQ,contig,21938
REFSEQ,contig,696988
REFSEQ,contig,912621
REFSEQ,contig,78795
REFSEQ,contig,682630
REFSEQ,contig,436861
REFSEQ,contig,638423
REFSEQ,contig,422812
REFSEQ,contig,239357
REFSEQ,contig,1171924
REFSEQ,contig,311311
REFSEQ,contig,408537
REFSEQ,contig,314489
REFSEQ,contig,281298
REFSEQ,contig,465074
REFSEQ,contig,173423
REFSEQ,contig,831191
REFSEQ,contig,202326
REFSEQ,contig,330555
REFSEQ,contig,1155098
REFSEQ,contig,86239
REFSEQ,contig,84317
REFSEQ,contig,195359
REFSEQ,contig,107371
REFSEQ,contig,345635
REFSEQ,contig,54344
REFSEQ,contig,619011
REFSEQ,contig,444469
REFSEQ,contig,313473
REFSEQ,contig,78291
REFSEQ,contig,391939
REFSEQ,contig,200733
REFSEQ,contig,11546
REFSEQ,contig,103202
REFSEQ,contig,511474
REFSEQ,contig,435976
REFSEQ,contig,989658
REFSEQ,contig,403233
REFSEQ,contig,354097
REFSEQ,contig,905900
REFSEQ,contig,77992
REFSEQ,contig,90530
REFSEQ,contig,63094
REFSEQ,contig,499876
REFSEQ,contig,579931
REFSEQ,contig,97406
REFSEQ,contig,549992
REFSEQ,contig,796617
REFSEQ,contig,698943
REFSEQ,contig,269356
REFSEQ,contig,268862
