db,type,length
RefSeq,contig,0.398606
RefSeq,contig,0.073438
RefSeq,contig,0.241833
RefSeq,contig,0.468626
RefSeq,contig,1.190932
RefSeq,contig,0.81518
RefSeq,contig,0.048276
RefSeq,contig,0.043521
RefSeq,contig,0.305173
RefSeq,contig,0.239357
RefSeq,contig,1.171433
RefSeq,contig,0.339259
RefSeq,contig,0.391939
RefSeq,contig,0.195359
RefSeq,contig,0.110769
RefSeq,contig,0.354097
RefSeq,contig,0.080768
RefSeq,contig,0.369945
RefSeq,contig,0.234672
RefSeq,contig,0.033367
RefSeq,contig,0.078291
RefSeq,contig,0.007483
RefSeq,contig,0.226216
RefSeq,contig,0.34824
RefSeq,contig,0.513796
RefSeq,contig,0.173673
RefSeq,contig,1.62498
RefSeq,contig,0.135357
RefSeq,contig,0.831191
RefSeq,contig,0.226839
RefSeq,contig,0.330555
RefSeq,contig,0.291853
RefSeq,contig,0.010726
RefSeq,contig,0.04087
RefSeq,contig,1.347629
RefSeq,contig,0.658679
RefSeq,contig,0.434948
RefSeq,contig,0.022472
RefSeq,contig,0.005634
RefSeq,contig,0.086239
RefSeq,contig,1.481371
RefSeq,contig,0.077992
RefSeq,contig,1.47076
RefSeq,contig,0.262365
RefSeq,contig,1.93406
RefSeq,contig,0.005151
RefSeq,contig,1.560556
RefSeq,contig,0.09053
RefSeq,contig,0.118273
RefSeq,contig,0.532011
RefSeq,contig,2.240078
RefSeq,contig,0.103202
RefSeq,contig,2.048479
RefSeq,contig,1.190097
RefSeq,contig,0.10973
RefSeq,contig,0.278712
RefSeq,contig,0.698943
RefSeq,contig,0.769724
RefSeq,contig,0.299515
RefSeq,contig,0.579931
RefSeq,contig,0.322261
RefSeq,contig,0.68263
RefSeq,contig,0.324486
RefSeq,contig,4.884963
RefSeq,contig,1.485982
RefSeq,contig,1.142224
RefSeq,contig,0.989658
RefSeq,contig,0.161062
RefSeq,contig,0.01638
RefSeq,contig,1.858413
RefSeq,contig,2.055321
RefSeq,contig,0.619666
RefSeq,contig,1.444466
RefSeq,contig,1.171924
RefSeq,contig,0.121458
RefSeq,contig,0.054344
RefSeq,contig,0.959721
RefSeq,contig,0.086088
RefSeq,contig,0.001963
RefSeq,contig,0.407918
RefSeq,contig,0.357719
RefSeq,contig,1.155098
RefSeq,contig,0.095908
RefSeq,contig,0.041232
RefSeq,contig,1.020966
RefSeq,contig,0.9059
RefSeq,contig,0.345021
RefSeq,contig,0.033179
RefSeq,contig,0.0433
RefSeq,contig,0.107371
RefSeq,contig,0.64183
RefSeq,contig,0.435157
RefSeq,contig,0.104353
RefSeq,contig,1.340437
RefSeq,contig,0.547749
RefSeq,contig,0.063094
RefSeq,contig,1.07804
RefSeq,contig,0.499876
RefSeq,contig,0.345635
RefSeq,contig,0.016345
RefSeq,contig,0.17161
RefSeq,contig,0.311311
RefSeq,contig,0.418613
RefSeq,contig,0.270637
RefSeq,contig,0.197123
RefSeq,contig,0.286917
RefSeq,contig,1.16563
RefSeq,contig,0.051084
RefSeq,contig,0.041222
RefSeq,contig,0.435976
RefSeq,contig,1.360794
RefSeq,contig,0.157278
RefSeq,contig,1.082281
RefSeq,contig,0.177421
RefSeq,contig,0.436861
RefSeq,contig,2.355451
RefSeq,contig,0.505435
RefSeq,contig,0.248343
RefSeq,contig,0.403233
RefSeq,contig,1.722339
RefSeq,contig,0.065525
RefSeq,contig,0.009202
RefSeq,contig,0.09335
RefSeq,contig,0.119211
RefSeq,contig,0.212178
RefSeq,contig,1.278612
RefSeq,contig,0.011504
RefSeq,contig,0.069546
RefSeq,contig,0.173423
RefSeq,contig,1.261748
RefSeq,contig,0.465074
RefSeq,contig,0.494872
RefSeq,contig,0.619204
RefSeq,contig,0.004236
RefSeq,contig,0.665191
RefSeq,contig,0.581688
RefSeq,contig,0.04406
RefSeq,contig,0.063411
RefSeq,contig,1.307779
RefSeq,contig,2.270827
RefSeq,contig,0.175801
RefSeq,contig,0.118599
RefSeq,contig,0.077783
RefSeq,contig,0.371169
RefSeq,contig,0.097406
RefSeq,contig,0.045428
RefSeq,contig,0.642859
RefSeq,contig,0.044742
RefSeq,contig,0.202326
RefSeq,contig,0.084317
RefSeq,contig,0.079854
RefSeq,contig,0.590854
RefSeq,contig,1.055485
RefSeq,contig,0.439104
RefSeq,contig,0.08516
RefSeq,contig,0.471502
RefSeq,contig,0.412736
RefSeq,contig,0.04917
RefSeq,contig,0.217826
RefSeq,contig,0.177432
RefSeq,contig,0.601799
RefSeq,contig,0.252332
RefSeq,contig,0.193838
RefSeq,contig,0.351671
RefSeq,contig,0.077013
RefSeq,contig,0.941967
RefSeq,contig,0.106996
RefSeq,contig,1.365487
RefSeq,contig,0.051297
RefSeq,contig,0.796617
RefSeq,contig,0.111569
RefSeq,contig,0.014787
RefSeq,contig,0.638423
RefSeq,contig,0.112849
RefSeq,contig,0.090684
RefSeq,contig,0.696988
RefSeq,contig,0.544433
RefSeq,contig,0.313473
RefSeq,contig,0.546299
RefSeq,contig,1.284912
RefSeq,contig,0.281298
RefSeq,contig,0.511474
RefSeq,contig,0.049811
RefSeq,contig,0.010706
RefSeq,contig,0.422812
RefSeq,contig,0.317029
RefSeq,contig,0.165619
RefSeq,contig,3.192856
RefSeq,contig,2.119819
RefSeq,contig,0.088492
RefSeq,contig,0.912621
RefSeq,contig,0.200733
RefSeq,contig,0.590991
RefSeq,contig,0.268862
RefSeq,contig,0.160254
RefSeq,contig,0.132129
RefSeq,contig,0.644217
RefSeq,contig,0.444469
RefSeq,contig,0.467397
RefSeq,contig,0.23492
RefSeq,contig,0.223044
RefSeq,contig,0.269356
RefSeq,contig,0.124603
RefSeq,contig,0.408537
RefSeq,contig,1.81054
RefSeq,contig,0.224232
RefSeq,contig,0.65096
RefSeq,contig,0.032728
RefSeq,contig,0.759951
RefSeq,contig,0.154209
RefSeq,contig,0.303017
RefSeq,contig,0.145171
RefSeq,contig,1.652616
RefSeq,contig,0.221628
RefSeq,contig,0.080015
RefSeq,contig,0.762959
RefSeq,contig,0.314489
RefSeq,contig,3.528999
RefSeq,contig,0.182157
RefSeq,contig,0.365389
RefSeq,contig,0.376824
RefSeq,contig,0.078795
RefSeq,contig,0.549992
RefSeq,contig,0.228961
RefSeq,contig,0.021938
RefSeq,contig,0.085757
RefSeq,contig,0.389956
RefSeq,contig,0.211034
RefSeq,contig,0.20716
RefSeq,contig,0.037509
RefSeq,contig,0.818293
RefSeq,contig,0.152561
RefSeq,contig,0.248001
RefSeq,contig,0.604986
RefSeq,contig,2.668015
RefSeq,contig,0.340231
RefSeq,contig,0.29617
RefSeq,contig,0.115319
RefSeq,contig,0.087675
RefSeq,contig,3.283068
RefSeq,contig,1.516971
RefSeq,contig,1.221885
RefSeq,contig,1.233878
RefSeq,contig,0.050852
RefSeq,contig,0.105645
RefSeq,contig,1.816419
RefSeq,contig,0.338799
RefSeq,contig,0.64448
RefSeq,contig,0.766328
Ensembl,contig,0.216991
Ensembl,contig,0.128351
Ensembl,contig,0.837417
Ensembl,contig,0.647132
Ensembl,contig,0.038477
Ensembl,contig,0.052771
Ensembl,contig,1.709568
Ensembl,contig,0.108571
Ensembl,contig,0.088986
Ensembl,contig,0.071471
Ensembl,contig,0.098778
Ensembl,contig,0.075514
Ensembl,contig,0.068958
Ensembl,contig,0.014179
Ensembl,contig,0.125361
Ensembl,contig,1.218002
Ensembl,contig,0.355554
Ensembl,contig,0.436948
Ensembl,contig,0.009284
Ensembl,contig,0.512893
Ensembl,contig,0.701819
Ensembl,contig,0.009601
Ensembl,contig,0.016201
Ensembl,contig,0.053776
Ensembl,contig,0.016447
Ensembl,contig,0.574347
Ensembl,contig,0.424552
Ensembl,contig,0.037581
Ensembl,contig,0.023686
Ensembl,contig,0.909628
Ensembl,contig,0.003308
Ensembl,contig,0.070415
Ensembl,contig,0.002506
Ensembl,contig,0.028691
Ensembl,contig,0.607476
Ensembl,contig,0.271969
Ensembl,contig,0.576448
Ensembl,contig,0.257534
Ensembl,contig,0.189482
Ensembl,contig,0.104188
Ensembl,contig,0.282456
Ensembl,contig,0.251836
Ensembl,contig,0.306429
Ensembl,contig,0.054567
Ensembl,contig,0.052446
Ensembl,contig,0.084664
Ensembl,contig,0.353396
Ensembl,contig,0.249021
Ensembl,contig,0.535724
Ensembl,contig,0.46335
Ensembl,contig,0.103627
Ensembl,contig,0.044332
Ensembl,contig,0.198061
Ensembl,contig,0.425403
Ensembl,contig,0.08413
Ensembl,contig,0.270011
Ensembl,contig,0.113314
Ensembl,contig,0.04074
Ensembl,contig,0.032285
Ensembl,contig,0.041446
Ensembl,contig,1.243508
Ensembl,contig,0.539838
Ensembl,contig,0.347058
Ensembl,contig,0.176586
Ensembl,contig,0.11747
Ensembl,contig,0.225155
Ensembl,contig,0.340655
Ensembl,contig,1.656382
Ensembl,contig,0.380757
Ensembl,contig,0.789383
Ensembl,contig,0.213051
Ensembl,contig,0.123257
Ensembl,contig,1.812829
Ensembl,contig,1.475826
Ensembl,contig,0.053006
Ensembl,contig,1.902377
Ensembl,contig,0.032863
Ensembl,contig,0.531901
Ensembl,contig,0.006874
Ensembl,contig,0.828798
Ensembl,contig,0.0092
Ensembl,contig,0.178005
Ensembl,contig,0.165139
Ensembl,contig,1.565899
Ensembl,contig,0.053285
Ensembl,contig,0.763078
Ensembl,contig,0.006434
Ensembl,contig,0.242228
Ensembl,contig,0.263445
Ensembl,contig,0.230405
Ensembl,contig,0.270517
Ensembl,contig,1.039936
Ensembl,contig,0.360339
Ensembl,contig,0.088944
Ensembl,contig,1.146452
Ensembl,contig,0.030249
Ensembl,contig,1.08274
Ensembl,contig,0.019654
Ensembl,contig,0.019704
Ensembl,contig,0.0318
Ensembl,contig,0.050636
Ensembl,contig,0.211902
Ensembl,contig,0.604276
Ensembl,contig,0.660346
Ensembl,contig,0.175177
Ensembl,contig,1.180444
Ensembl,contig,0.177593
Ensembl,contig,0.550003
Ensembl,contig,0.013233
Ensembl,contig,0.349673
Ensembl,contig,0.315783
Ensembl,contig,0.066601
Ensembl,contig,0.194635
Ensembl,contig,0.06829
Ensembl,contig,0.006192
Ensembl,contig,1.170426
Ensembl,contig,2.958491
Ensembl,contig,0.14455
Ensembl,contig,0.021371
Ensembl,contig,0.952347
Ensembl,contig,0.035174
Ensembl,contig,0.161725
Ensembl,contig,0.545014
Ensembl,contig,0.051509
Ensembl,contig,0.227147
Ensembl,contig,0.049372
Ensembl,contig,0.037664
Ensembl,contig,0.017995
Ensembl,contig,0.022153
Ensembl,contig,2.508027
Ensembl,contig,0.744265
Ensembl,contig,0.008492
Ensembl,contig,0.397991
Ensembl,contig,0.086552
Ensembl,contig,0.142066
Ensembl,contig,0.094349
Ensembl,contig,0.340241
Ensembl,contig,0.039775
Ensembl,contig,0.028735
Ensembl,contig,0.060044
Ensembl,contig,0.062015
Ensembl,contig,0.13823
Ensembl,contig,0.302884
Ensembl,contig,0.246927
Ensembl,contig,0.182446
Ensembl,contig,0.204666
Ensembl,contig,0.258906
Ensembl,contig,0.284308
Ensembl,contig,0.326969
Ensembl,contig,0.306575
Ensembl,contig,0.295292
Ensembl,contig,0.264933
Ensembl,contig,0.327793
Ensembl,contig,0.319931
Ensembl,contig,0.269812
Ensembl,contig,0.298479
Ensembl,contig,0.288109
Ensembl,contig,0.386653
Ensembl,contig,0.330333
Ensembl,contig,0.213149
Ensembl,contig,0.2499
Ensembl,contig,0.334114
Ensembl,contig,0.2584
Ensembl,contig,0.406986
Ensembl,contig,0.194073
Ensembl,contig,0.609868
Ensembl,contig,0.004425
Ensembl,contig,1.468337
Ensembl,contig,0.619541
Ensembl,contig,2.385146
Ensembl,contig,1.631667
Ensembl,contig,0.082565
Ensembl,contig,0.05469
Ensembl,contig,0.097807
Ensembl,contig,0.024381
Ensembl,contig,0.019132
Ensembl,contig,0.007518
Ensembl,contig,0.004132
Ensembl,contig,0.95857
