db,type,length
REFSEQ,chr,5.856875
REFSEQ,chr,1.803795
REFSEQ,chr,3.459878
REFSEQ,chr,0.959402
REFSEQ,chr,3.099303
REFSEQ,chr,4.24299
REFSEQ,chr,1.757771
REFSEQ,chr,1.142569
REFSEQ,chr,1.720742
REFSEQ,chr,1.882765
REFSEQ,chr,1.315635
REFSEQ,chr,1.322703
REFSEQ,chr,0.205262
REFSEQ,chr,1.135134
REFSEQ,chr,2.386198
REFSEQ,chr,0.763889
REFSEQ,chr,0.18231
REFSEQ,chr,1.366238
REFSEQ,chr,1.369222
REFSEQ,chr,2.47186
REFSEQ,chr,3.909091
REFSEQ,chr,0.405365
REFSEQ,chr,0.642859
REFSEQ,chr,0.546299
REFSEQ,chr,1.082524
REFSEQ,chr,4.794564
REFSEQ,chr,1.279782
REFSEQ,chr,1.06443
REFSEQ,chr,1.830322
REFSEQ,chr,1.893714
REFSEQ,chr,5.008672
REFSEQ,chr,5.626423
REFSEQ,chr,1.181076
REFSEQ,chr,1.110202
REFSEQ,chr,0.765715
REFSEQ,chr,1.088545
REFSEQ,chr,9.203364
REFSEQ,chr,1.061442
REFSEQ,chr,0.169945
REFSEQ,chr,0.152345
REFSEQ,chr,0.17161
REFSEQ,chr,9.196094
REFSEQ,chr,0.903544
REFSEQ,chr,1.524614
REFSEQ,chr,1.372511
REFSEQ,chr,0.864758
REFSEQ,chr,0.805402
REFSEQ,chr,0.357719
REFSEQ,chr,1.722339
REFSEQ,chr,0.278712
REFSEQ,chr,0.241833
REFSEQ,chr,2.048479
REFSEQ,chr,0.033179
REFSEQ,chr,0.010726
REFSEQ,chr,0.127823
REFSEQ,chr,0.626548
REFSEQ,chr,0.234672
REFSEQ,chr,1.382083
REFSEQ,chr,0.115319
REFSEQ,chr,0.118273
REFSEQ,chr,0.223044
REFSEQ,chr,1.132452
REFSEQ,chr,3.457862
REFSEQ,chr,0.10973
REFSEQ,chr,0.132129
REFSEQ,chr,0.590854
REFSEQ,chr,0.913607
REFSEQ,chr,2.029786
REFSEQ,chr,0.23492
REFSEQ,chr,1.284912
REFSEQ,chr,0.152561
REFSEQ,chr,0.045477
REFSEQ,chr,0.332001
REFSEQ,chr,7.812769
REFSEQ,chr,3.639886
REFSEQ,contig,0.010706
REFSEQ,contig,0.197123
REFSEQ,contig,1.911129
REFSEQ,contig,0.513796
REFSEQ,contig,1.360794
REFSEQ,contig,0.762959
REFSEQ,contig,0.389956
REFSEQ,contig,0.112849
REFSEQ,contig,0.64183
REFSEQ,contig,0.104353
REFSEQ,contig,1.082281
REFSEQ,contig,1.652616
REFSEQ,contig,0.088641
REFSEQ,contig,0.086088
REFSEQ,contig,0.351671
REFSEQ,contig,1.07804
REFSEQ,contig,0.080015
REFSEQ,contig,0.340231
REFSEQ,contig,4.884963
REFSEQ,contig,1.190932
REFSEQ,contig,0.072984
REFSEQ,contig,0.121458
REFSEQ,contig,1.142224
REFSEQ,contig,0.073438
REFSEQ,contig,0.581688
REFSEQ,contig,0.371169
REFSEQ,contig,0.228961
REFSEQ,contig,0.04087
REFSEQ,contig,0.051084
REFSEQ,contig,2.355451
REFSEQ,contig,0.658679
REFSEQ,contig,0.303017
REFSEQ,contig,0.532011
REFSEQ,contig,1.278612
REFSEQ,contig,1.307779
REFSEQ,contig,0.25222
REFSEQ,contig,1.47076
REFSEQ,contig,0.471502
REFSEQ,contig,0.248343
REFSEQ,contig,0.65096
REFSEQ,contig,0.044633
REFSEQ,contig,0.317029
REFSEQ,contig,0.439104
REFSEQ,contig,0.398606
REFSEQ,contig,1.261748
REFSEQ,contig,0.022472
REFSEQ,contig,0.044742
REFSEQ,contig,0.165619
REFSEQ,contig,0.016345
REFSEQ,contig,0.193838
REFSEQ,contig,0.221628
REFSEQ,contig,0.365389
